|                 Tasks                 |Version|  Filter  |n-shot|  Metric   |Value |   |Stderr|              
|  - conceptual_physics                 |Yaml   |none      |     0|acc        |0.3872|±  |0.0318|
|  - electrical_engineering             |Yaml   |none      |     0|acc        |0.3931|±  |0.0407|
|  - elementary_mathematics             |Yaml   |none      |     0|acc        |0.2434|±  |0.0221|
|  - high_school_biology                |Yaml   |none      |     0|acc        |0.4645|±  |0.0284|
|  - high_school_chemistry              |Yaml   |none      |     0|acc        |0.3153|±  |0.0327|
|  - high_school_computer_science       |Yaml   |none      |     0|acc        |0.3200|±  |0.0469|
|  - high_school_mathematics            |Yaml   |none      |     0|acc        |0.2519|±  |0.0265|
|  - high_school_physics                |Yaml   |none      |     0|acc        |0.2517|±  |0.0354|
|  - high_school_statistics             |Yaml   |none      |     0|acc        |0.3102|±  |0.0315|
|  - machine_learning                   |Yaml   |none      |     0|acc        |0.3929|±  |0.0464|
|openbookqa                             |Yaml   |none      |     0|acc        |0.3140|±  |0.0208|
|                                       |       |none      |     0|acc_norm   |0.4420|±  |0.0222|
|piqa                                   |Yaml   |none      |     0|acc        |0.7807|±  |0.0097|
|                                       |       |none      |     0|acc_norm   |0.7905|±  |0.0095|
|winogrande                             |Yaml   |none      |     0|acc        |0.6922|±  |0.0130|

|      Groups      |Version|Filter|n-shot|  Metric  |Value |   |Stderr|
|------------------|-------|------|-----:|----------|-----:|---|-----:|
|lambada           |N/A    |none  |     0|perplexity|3.7623|±  |0.1985|
|                  |       |none  |     0|acc       |0.7107|±  |0.0153|
|mmlu              |N/A    |none  |     0|acc       |0.4178|±  |0.0905|
| - humanities     |N/A    |none  |     0|acc       |0.3966|±  |0.0836|
| - other          |N/A    |none  |     0|acc       |0.4715|±  |0.0754|
| - social_sciences|N/A    |none  |     0|acc       |0.4725|±  |0.0900|
| - stem           |N/A    |none  |     0|acc       |0.3432|±  |0.0788|
